t_real	tv	d_tv	e_p_x	e_p_y	e_p_z	e_o_x	e_o_y	e_o_z	e_v_lin_x	e_v_lin_y	e_v_lin_z	e_v_ang_x	e_v_ang_y	e_v_ang_z
0.252	0.251744	0.990736	0.0172144	-0.00331328	0.02275	-0.104692	-0.0145462	-0.000721892	-0.295587	-0.043743	0.0917938	-0.135467	-0.154194	-0.0291534
0.254	0.253724	0.990141	0.0166516	-0.00339703	0.0229411	-0.105104	-0.0149646	-0.000823696	-0.281387	-0.0418745	0.095533	-0.143999	-0.147993	-0.0290275
0.256	0.255704	0.989548	0.0168411	-0.00339703	0.0233329	-0.106044	-0.0149586	-0.000830617	0.0947529	0	0.1959	-0.32915	0.00201199	-0.00499311
0.258	0.257681	0.988955	0.0162215	-0.003486	0.02351	-0.106403	-0.0154092	-0.000941439	-0.309799	-0.0444868	0.0885544	-0.125508	-0.159444	-0.0313754
0.26	0.259658	0.988362	0.0155915	-0.00357544	0.0236825	-0.106742	-0.0158663	-0.00105604	-0.315036	-0.0447193	0.0862578	-0.11852	-0.161764	-0.0325223
0.262	0.261634	0.98777	0.0156414	-0.00358961	0.0240428	-0.107583	-0.0159336	-0.00108067	0.0894492	0	0.197949	-0.327673	0.00207307	-0.00534541
0.264	0.263608	0.987179	0.015126	-0.00366543	0.0242478	-0.108006	-0.0163202	-0.00118195	-0.257715	-0.0379091	0.102484	-0.114454	-0.162863	-0.0337532
0.266	0.265581	0.986589	0.0144706	-0.00375603	0.0244128	-0.108327	-0.0167828	-0.00130434	-0.327705	-0.0452986	0.082513	-0.112124	-0.163858	-0.0350141
0.268	0.267553	0.986	0.0138039	-0.00384728	0.0245736	-0.108643	-0.0172486	-0.00143056	-0.33336	-0.045627	0.0803844	-0.110212	-0.165063	-0.03627
0.27	0.269524	0.985579	0.0139685	-0.00384728	0.0249745	-0.109574	-0.0172425	-0.00143849	0.0823418	0	0.200489	-0.325742	0.0021393	-0.00570176
0.272	0.271495	0.985159	0.0132867	-0.00393924	0.0251324	-0.109883	-0.0177123	-0.00156873	-0.340913	-0.0459779	0.0789424	-0.108027	-0.16654	-0.0375047
0.274	0.273464	0.984739	0.0126381	-0.00402704	0.0252995	-0.11022	-0.0181614	-0.00169608	-0.324323	-0.043901	0.0835188	-0.117844	-0.159258	-0.0369754
0.276	0.275433	0.984319	0.0127921	-0.00402704	0.0257041	-0.111147	-0.0181551	-0.0017044	0.0770049	0	0.202302	-0.324402	0.00219567	-0.00598182
0.278	0.277401	0.9839	0.0120832	-0.00412048	0.0258551	-0.111446	-0.0186348	-0.0018423	-0.354437	-0.0467219	0.075542	-0.104193	-0.170152	-0.0398739
0.28	0.279368	0.983481	0.011362	-0.00421475	0.0260021	-0.111739	-0.0191206	-0.00198402	-0.360616	-0.0471342	0.0734715	-0.102435	-0.172355	-0.0410731
0.282	0.281334	0.983062	0.0107225	-0.0042996	0.0261725	-0.112079	-0.0195613	-0.00211438	-0.319721	-0.0424251	0.0851916	-0.118673	-0.156385	-0.0381317
0.284	0.283299	0.982644	0.0108161	-0.0043046	0.0265673	-0.112965	-0.0195815	-0.00213056	0.0467729	-0.00249712	0.197428	-0.31029	-0.00715421	-0.00830227
0.286	0.285263	0.982226	0.0100736	-0.00439958	0.0267054	-0.113209	-0.0200839	-0.00227893	-0.371248	-0.0474919	0.0690246	-0.0849102	-0.17831	-0.0428164
0.288	0.287227	0.981809	0.00932344	-0.0044948	0.0268382	-0.11344	-0.0205887	-0.00243082	-0.375074	-0.0476096	0.0664103	-0.0806277	-0.179242	-0.0439512
0.29	0.28919	0.981392	0.0086121	-0.00458529	0.0269811	-0.113701	-0.0210675	-0.00257847	0.064436	0	0.205975	-0.321216	0.00239364	-0.00687802
0.292	0.291152	0.980975	0.00869056	-0.00459032	0.0273788	-0.114581	-0.0210879	-0.00259582	0.0392296	-0.00251804	0.198884	-0.307928	-0.00719965	-0.00891615
0.294	0.293113	0.980559	0.00792048	-0.00468621	0.0275026	-0.114798	-0.0215949	-0.00275501	-0.385039	-0.0479427	0.0618663	-0.0758209	-0.180151	-0.0463235
0.296	0.295073	0.979976	0.00803848	-0.00468621	0.0279171	-0.115712	-0.0215882	-0.00276481	0.0589989	0	0.207274	-0.319779	0.00242581	-0.00702113
0.298	0.297032	0.979395	0.00725608	-0.00478251	0.0280367	-0.115923	-0.0220972	-0.00292777	-0.391198	-0.0481508	0.0597827	-0.0735136	-0.180948	-0.0474957
0.3	0.298989	0.978814	0.00646469	-0.00487928	0.0281514	-0.116129	-0.0226091	-0.00309431	-0.395696	-0.0483845	0.0573406	-0.071744	-0.182031	-0.0486673
0.302	0.300946	0.978233	0.00571191	-0.00497143	0.0282775	-0.116367	-0.023097	-0.00325596	-0.37639	-0.0460767	0.0630653	-0.0830445	-0.173568	-0.0475648
0.304	0.302901	0.977488	0.00576738	-0.00497657	0.0286785	-0.117237	-0.0231178	-0.00327489	0.0277338	-0.00256708	0.200508	-0.304541	-0.00728714	-0.00972493
